Desc_UI    Descriptor Counts

D006801    Humans: 517
D007251    Influenza, Human: 139
D005260    Female: 131
D008297    Male: 128
D000818    Animals: 113
D000328    Adult: 110
D000293    Adolescent: 100
D002648    Child: 99
D004196    Disease Outbreaks: 97
D008962    Models, Theoretical: 95
D008954    Models, Biological: 87
D003198    Computer Simulation: 82
D002675    Child, Preschool: 80
D008875    Middle Aged: 71
D055815    Young Adult: 70
D015233    Models, Statistical: 68
D014481    United States: 60
D007223    Infant: 58
D015994    Incidence: 56
D000368    Aged: 48
D013997    Time Factors: 40
D012307    Risk Factors: 39
D058872    Epidemics: 38
D000465    Algorithms: 37
D053118    Influenza A Virus, H1N1 Subtype: 36
D015995    Prevalence: 36
D003715    Dengue: 36
D003141    Communicable Diseases: 34
D015658    HIV Infections: 32
D012621    Seasons: 32
D011159    Population Surveillance: 31
D058873    Pandemics: 30
D013269    Stochastic Processes: 30
D019142    Hemorrhagic Fever, Ebola: 29
D010802    Phylogeny: 29
D007231    Infant, Newborn: 28
D007252    Influenza Vaccines: 27
D002681    China: 27
D000369    Aged, 80 and over: 27
D003362    Cost-Benefit Analysis: 25
D012189    Retrospective Studies: 24
D003716    Dengue Virus: 24
D000367    Age Factors: 24
D014611    Vaccination: 23
D005075    Biological Evolution: 23
D000900    Anti-Bacterial Agents: 23
D018562    Disease Transmission, Infectious: 22
D006723    Hong Kong: 22
D005843    Geography: 22
D000995    Antitubercular Agents: 22
D003140    Communicable Disease Control: 21
D019143    Evolution, Molecular: 20
D014644    Genetic Variation: 20
D011157    Population Dynamics: 20
D008957    Models, Genetic: 20
D009980    Influenza A virus: 19
D007303    Insect Vectors: 19
D064766    Influenza A Virus, H7N9 Subtype: 18
D018088    Tuberculosis, Multidrug-Resistant: 18
D016896    Treatment Outcome: 18
D016000    Cluster Analysis: 18
D014376    Tuberculosis: 18
D011634    Public Health: 18
D009154    Mutation: 18
D009033    Culicidae: 18
D008288    Malaria: 18
D000914    Antibodies, Viral: 18
D014943    Global Health: 17
D013203    Staphylococcal Infections: 17
D008969    Molecular Sequence Data: 17
D005191    Family Characteristics: 17
D024881    Drug Resistance, Bacterial: 16
D019295    Computational Biology: 16
D018570    Risk Assessment: 16
D018448    Models, Immunological: 16
D012641    Selection, Genetic: 16
D009169    Mycobacterium tuberculosis: 16
D003428    Cross Infection: 16
D055624    Methicillin-Resistant Staphylococcus aureus: 15
D050936    Basic Reproduction Number: 15
D013296    Streptococcus pneumoniae: 15
D005838    Genotype: 15
D002771    Cholera: 15
D000998    Antiviral Agents: 15
D054884    Host-Pathogen Interactions: 14
D053122    Influenza A Virus, H3N2 Subtype: 14
D029043    Ebolavirus: 14
D015331    Cohort Studies: 14
D006760    Hospitalization: 14
D016013    Likelihood Functions: 13
D012959    Socioeconomic Factors: 13
D011446    Prospective Studies: 13
D003627    Data Interpretation, Statistical: 13
D000330    Aedes: 13
D021821    Communicable Diseases, Emerging: 12
D016358    Contact Tracing: 12
D015203    Reproducibility of Results: 12
D001499    Bayes Theorem: 12
D018803    Models, Economic: 11
D017720    Molecular Epidemiology: 11
D017422    Sequence Analysis, DNA: 11
D016208    Databases, Factual: 11
D013019    South Africa: 11
D012680    Sensitivity and Specificity: 11
D011200    Poultry: 11
D010963    Plasmodium falciparum: 11
D009975    Orthomyxoviridae: 11
D008826    Microbial Sensitivity Tests: 11
D008457    Measles: 11
D008137    Longitudinal Studies: 11
D003430    Cross-Sectional Studies: 11
D002140    California: 11
D062665    Epidemiological Monitoring: 10
D049673    History, 20th Century: 10
D040421    Cell Phones: 10
D032541    Mass Vaccination: 10
D024901    Drug Resistance, Multiple, Bacterial: 10
D017677    Age Distribution: 10
D016680    Genome, Bacterial: 10
D016036    Seroepidemiologic Studies: 10
D015982    Bias (Epidemiology): 10
D014505    Urban Population: 10
D014195    Travel: 10
D013785    Thailand: 10
D012703    Serotyping: 10
D011336    Probability: 10
D009010    Monte Carlo Method: 10
D005585    Influenza in Birds: 10
D005544    Forecasting: 10
D000940    Antigenic Variation: 10
D000354    Africa, Western: 10
D053059    Dengue Vaccines: 9
D017954    Africa South of the Sahara: 9
D017048    Health Care Costs: 9
D016032    Randomized Controlled Trials as Topic: 9
D012984    Software: 9
D010641    Phenotype: 9
D009981    Influenza B virus: 9
D006306    Health Surveys: 9
D004812    Epidemiologic Methods: 9
D003625    Data Collection: 9
D055256    Infectious Disease Incubation Period: 8
D049674    History, 21st Century: 8
D023281    Genomics: 8
D018571    Sentinel Surveillance: 8
D016778    Malaria, Falciparum: 8
D016015    Logistic Models: 8
D014612    Vaccines: 8
D013045    Species Specificity: 8
D012807    Sierra Leone: 8
D012720    Severity of Illness Index: 8
D012574    Schools: 8
D012306    Risk: 8
D011156    Population Density: 8
D011008    Pneumococcal Infections: 8
D010568    Peru: 8
D010414    Pennsylvania: 8
D007988    Liberia: 8
D003710    Demography: 8
D003661    Decision Support Techniques: 8
D062486    Public Health Surveillance: 7
D062211    Spatio-Temporal Analysis: 7
D060085    Coinfection: 7
D053124    Influenza A Virus, H5N1 Subtype: 7
D017753    Ecosystem: 7
D017589    Immunization Programs: 7
D014734    Vibrio cholerae: 7
D007630    Kenya: 7
D006291    Health Policy: 7
D005828    Genetics, Population: 7
D004189    Disaster Planning: 7
D002353    Carrier State: 7
D000956    Antigens, Viral: 7
D060756    Social Networking: 6
D051379    Mice: 6
D037621    Artemisinins: 6
D024882    Drug Resistance, Viral: 6
D020641    Polymorphism, Single Nucleotide: 6
D020407    Internet: 6
D019057    Quality-Adjusted Life Years: 6
D017281    Cost of Illness: 6
D017053    Infection Control: 6
D016017    Odds Ratio: 6
D015047    Zoonoses: 6
D014397    Tuberculosis, Pulmonary: 6
D014141    Trachoma: 6
D012919    Social Behavior: 6
D012737    Sex Factors: 6
D012424    Rural Population: 6
D012141    Respiratory Tract Infections: 6
D012107    Research Design: 6
D011795    Surveys and Questionnaires: 6
D008403    Mass Screening: 6
D007194    India: 6
D007113    Immunity, Innate: 6
D006385    Hemagglutination Inhibition Tests: 6
D006205    Haiti: 6
D004352    Drug Resistance, Microbial: 6
D004269    DNA, Bacterial: 6
D004198    Disease Susceptibility: 6
D003906    Developing Countries: 6
D003365    Costs and Cost Analysis: 6
D001419    Bacteria: 6
D000595    Amino Acid Sequence: 6
D000375    Aging: 6
D065632    Chikungunya Fever: 5
D065207    Middle East Respiratory Syndrome Coronavirus: 5
D060888    Real-Time Polymerase Chain Reaction: 5
D057134    Antibodies, Neutralizing: 5
D056084    Genetic Fitness: 5
D035843    Biomedical Research: 5
D035501    Uncertainty: 5
D029821    Enterovirus A, Human: 5
D019380    Anti-HIV Agents: 5
D019353    Endemic Diseases: 5
D017063    Outcome Assessment (Health Care): 5
D016014    Linear Models: 5
D015999    Multivariate Analysis: 5
D015800    Protozoan Proteins: 5
D015497    HIV-1: 5
D014917    Whooping Cough: 5
D013552    Swine: 5
D012367    RNA, Viral: 5
D012309    Risk-Taking: 5
D011995    Recombination, Genetic: 5
D011329    Prisoners: 5
D011014    Pneumonia: 5
D009976    Orthomyxoviridae Infections: 5
D009032    Mosquito Control: 5
D009026    Mortality: 5
D008432    Mathematical Computing: 5
D007843    Latin America: 5
D007700    Kinetics: 5
D007538    Isoniazid: 5
D006761    Hospitals: 5
D006297    Health Services Accessibility: 5
D006232    Hand, Foot and Mouth Disease: 5
D006113    Great Britain: 5
D005759    Gastroenteritis: 5
D005500    Follow-Up Studies: 5
D005060    Europe: 5
D002947    Cities: 5
D001938    Brazil: 5
D000890    Anti-Infective Agents: 5
D000871    Anthelmintics: 5
D000553    Ambulatory Care: 5
D000284    Administration, Oral: 5
D062306    Geography, Medical: 4
D060740    Disease Eradication: 4
D059014    High-Throughput Nucleotide Sequencing: 4
D053208    Kaplan-Meier Estimate: 4
D053139    Oseltamivir: 4
D046129    Ebola Vaccines: 4
D045169    Severe Acute Respiratory Syndrome: 4
D040362    Geographic Information Systems: 4
D022761    Gene Transfer, Horizontal: 4
D020577    Wolbachia: 4
D019562    Viral Load: 4
D019267    Hemagglutinin Glycoproteins, Influenza Virus: 4
D018450    Disease Progression: 4
D018352    Coronavirus Infections: 4
D017963    Azithromycin: 4
D017721    Hospital Costs: 4
D017714    Community-Acquired Infections: 4
D017201    Virus Shedding: 4
D016701    Guinea: 4
D016679    Genome, Viral: 4
D016415    Sequence Alignment: 4
D016360    Clostridium difficile: 4
D016022    Case-Control Studies: 4
D014944    World Health Organization: 4
D014777    Virus Diseases: 4
D014774    Virulence: 4
D014765    Viral Vaccines: 4
D013781    Texas: 4
D013696    Temperature: 4
D013636    Tanzania: 4
D013601    T-Lymphocytes: 4
D013211    Staphylococcus aureus: 4
D013029    Space-Time Clustering: 4
D012747    Sexual Partners: 4
D012295    Rift Valley Fever: 4
D012111    Residence Characteristics: 4
D012008    Recurrence: 4
D010351    Patient Discharge: 4
D010045    Outpatients: 4
D009519    New York City: 4
D009439    Neuraminidase: 4
D009344    Neisseria gonorrhoeae: 4
D007239    Infection: 4
D007115    Immunization Schedule: 4
D006790    Host-Parasite Interactions: 4
D006678    HIV: 4
D006069    Gonorrhea: 4
D005787    Gene Frequency: 4
D005786    Gene Expression Regulation: 4
D005536    Foot-and-Mouth Disease: 4
D004926    Escherichia coli: 4
D004784    Environmental Monitoring: 4
D004285    Dogs: 4
D004199    Disease Vectors: 4
D004195    Disease Models, Animal: 4
D003695    Delivery of Health Care: 4
D002692    Chlamydia trachomatis: 4
D002417    Cattle: 4
D001483    Base Sequence: 4
D001426    Bacterial Proteins: 4
D001424    Bacterial Infections: 4
D000962    Antimalarials: 4
D000891    Anti-Infective Agents, Local: 4
D000220    Adaptation, Biological: 4
D000041    Absenteeism: 4
D058491    Bacterial Load: 3
D056704    Adaptive Immunity: 3
D056265    Microbial Interactions: 3
D051456    Gene Flow: 3
D029322    Norovirus: 3
D023482    Bioterrorism: 3
D022242    Pneumococcal Vaccines: 3
D022121    Cholera Vaccines: 3
D020133    Reverse Transcriptase Polymerase Chain Reaction: 3
D020010    Heterosexuality: 3
D019540    Area Under Curve: 3
D018709    Statistics, Nonparametric: 3
D018451    Homosexuality, Male: 3
D018357    Respiratory Syncytial Virus Infections: 3
D016481    Helicobacter Infections: 3
D016480    Helicobacter pylori: 3
D016134    Organizational Policy: 3
D016106    Methicillin Resistance: 3
D016019    Survival Analysis: 3
D016012    Poisson Distribution: 3
D015996    Survival Rate: 3
D015984    Causality: 3
D015897    Comorbidity: 3
D015438    Health Behavior: 3
D015340    Epidemiologic Research Design: 3
D015164    Vaccines, Inactivated: 3
D015030    Zimbabwe: 3
D014871    Water Microbiology: 3
D014779    Virus Replication: 3
D014744    Vietnam: 3
D014454    Uganda: 3
D014355    Chagas Disease: 3
D014186    Transportation: 3
D013334    Students: 3
D013048    Specimen Handling: 3
D012899    Smallpox: 3
D012749    Sexually Transmitted Diseases: 3
D012725    Sexual Behavior: 3
D012675    Senegal: 3
D012552    Schistosomiasis: 3
D012550    Schistosoma mansoni: 3
D012548    Schistosoma haematobium: 3
D012372    ROC Curve: 3
D012296    Rift Valley fever virus: 3
D012106    Research: 3
D011891    Rain: 3
D011379    Prognosis: 3
D011307    Drug Prescriptions: 3
